"82","M90","M90 ТОШ. Атриум","2021-01-22 10:48:56","2021-04-19 05:18:05",NULL,"1"
"83","M91","M91 ТОШ. 16 Гор больница","2021-01-22 10:49:07","2021-04-19 05:18:05",NULL,"1"
"84","M92","M92 ТОШ. Янги Хаёт","2021-01-22 10:49:16","2021-04-19 05:18:05",NULL,"1"
"85","M93","M93 ТОШ. ОБЛ. ТТЗ","2021-01-22 10:49:25","2021-04-19 05:18:05",NULL,"1"
"86","M94","M94 ТОШ. Ю Обод 6кв","2021-01-22 10:49:37","2021-04-19 05:18:05",NULL,"1"
"87","M95","M95 ТОШ. Ок Сарой","2021-01-22 10:49:48","2021-04-19 05:18:05",NULL,"1"
"88","M96","M96 ТОШ. Луначарский","2021-01-22 10:49:57","2021-04-19 05:18:05",NULL,"1"
"89","M97","M97 БУХОРО Минор","2021-01-22 10:50:22","2021-04-19 05:18:05",NULL,"5"
"90","M98","M98 БУХОРО Бульвар","2021-01-22 10:51:02","2021-04-19 05:18:05",NULL,"5"
"91","M99","M99 БУХОРО Бахор","2021-01-22 10:51:12","2021-04-19 05:18:05",NULL,"5"
"92","M100","M100 НАМ. Чуст","2021-01-22 11:00:01","2021-04-19 05:18:05",NULL,"9"
"93","M101","M101 ТОШ. Тановор Зенит","2021-01-22 11:00:22","2021-04-19 05:18:05",NULL,"1"
"94","M102","M102 ТОШ. Медгородок","2021-01-22 11:00:40","2021-04-19 05:18:05",NULL,"1"
"95","M103","M103 ТОШ. Парк Победа","2021-01-22 11:01:03","2021-04-19 05:18:05",NULL,"1"
"96","M104","M104 ТОШ. МВД Академия","2021-01-22 11:01:35","2021-04-19 05:18:05",NULL,"1"
"97","М105","М105 Тошкент маркет","2021-02-02 07:19:08","2021-04-19 05:32:02",NULL,"1"
"98","М106","М106 ТОШ. Вузгородок","2021-03-09 09:54:31","2021-04-19 05:26:11",NULL,"1"
"99","М107","М107 КАРШИ Комилон","2021-03-09 09:57:56","2021-04-19 05:26:34",NULL,"7"
"100","М108","М108 ТОШ. Саракулька","2021-03-09 09:59:20","2021-04-19 05:23:12",NULL,"1"
"101","М109","М109 ТОШ. Дубовая","2021-03-09 09:59:56","2021-04-19 05:23:05",NULL,"1"
"102","М110","М110 ТОШ. Юридич.К. 26кв","2021-03-09 10:09:14","2021-04-19 05:22:53",NULL,"1"
"103","М111","М111 ТОШ. Циалковская","2021-03-09 10:09:53","2021-04-19 05:22:38",NULL,"1"
"104","М112","М112 ДЖИЗЗАХ Аристократ","2021-03-09 10:10:26","2021-04-19 05:22:29",NULL,"6"
"105","М113","М113 ДЖИЗЗАХ Замин","2021-03-09 10:11:08","2021-04-19 05:22:19",NULL,"6"
"106","М117","М117 ТОШ. Сардоба","2021-03-30 07:22:45","2021-04-19 05:22:07",NULL,"1"
"107","М115","М115 ТОШ. Кадышева","2021-03-30 07:23:22","2021-04-19 05:21:54",NULL,"1"
"108","М114","М114 ТОШ. КЕЛЕС","2022-01-31 07:43:14","2022-01-31 07:43:14",NULL,"1"
"109","М116","М116 ТОШ. ФАМИЛИ МАРКЕТ","2022-01-31 07:44:19","2022-01-31 07:44:19",NULL,"1"
"110","М118","М118 ТОШ. МАЖИК СИТИ","2022-01-31 07:45:14","2022-01-31 07:45:14",NULL,"1"
"111","М123","М123 БУХ. КАГАН","2022-01-31 07:46:25","2022-01-31 07:46:25",NULL,"5"
"112","М122","М122 ТОШ. НУР","2022-01-31 07:47:10","2022-01-31 07:47:10",NULL,"1"
"113","М124","М124 ТОШ. ТРАМВАЙ ДЕПО","2022-01-31 07:48:36","2022-01-31 07:48:36",NULL,"1"
"114","М126","М126 ТОШ. КУШБЕГИ СУЛТАН","2022-01-31 07:49:20","2022-01-31 07:49:20",NULL,"1"
"115","М127","М127 ТОШ. ТТЗ ТРЦ","2022-01-31 07:49:57","2022-01-31 07:49:57",NULL,"1"
